descriptions,height,images,links,texts,titles,types,url,width
"fruit,fresh,to,bay,our,next,wish,the,luxury,or,at,free,get,of,uk,from,range,doctor,day,spend,someone,speedy,choose,recovery,baskets,delivery,keep",1661.75,3,841,142,"luxury,gift,traditional,fruit,baskets,hampers",,https://www.marksandspencer.com/l/gifts/food-and-wine-gifts/hampers-and-food-gifts/fruit-baskets-n-caqa0,1903
"today,wide,trend,our,with,indoors,the,offers,collection,bring,at,flower,discover,deals,vase,browse,latest,range,and,botanical,online,jug",6508.92,51,928,364,"vases,jugs",,https://www.marksandspencer.com/l/home-and-furniture/vases-and-jugs?intid=HF_GFTH_lego_8_img,1903
"john,shop,our,orders,partners,shower,at,on,garden,free,bath,over,from,range,mats,lewis,delivery,for,home",3102,49,734,902,"john,partners,shower,lewis,mats,bath",,https://www.johnlewis.com/browse/home-garden/bath-shower-mats/3-4/_/N-cpeZvfj,1903
"john,our,orders,partners,shower,at,on,nude,free,bath,over,from,quick,range,dry,mats,house,by,mat,lewis,delivery,buy",3818.45,45,753,832,"house,by,john,partners,mat,lewis,at,quick,dry,nude,bath",product,https://www.johnlewis.com/house-by-john-lewis-quick-dry-bath-mat/nude/p3901259,1903
"john,our,chenille,orders,partners,shower,at,on,free,bath,storm,over,bobble,from,range,mats,mat,lewis,delivery,buy",4568.6,49,768,854,"storm,partners,john,bobble,mat,lewis,at,chenille,bath",product,https://www.johnlewis.com/john-lewis-partners-chenille-bobble-bath-mat/storm/p3088782,1903
"john,our,chenille,steel,orders,partners,shower,at,on,free,bath,over,bobble,from,range,mats,mat,lewis,delivery,buy",4548.6,47,768,852,"partners,john,bobble,mat,lewis,steel,at,chenille,bath",product,https://www.johnlewis.com/john-lewis-partners-chenille-bobble-bath-mat/steel/p3088782,1903
"grey,john,soft,silver,our,slip,orders,partners,shower,at,on,free,bath,non,over,from,range,mats,cotton,ultra,mat,lewis,delivery,buy",5130.92,52,716,856,"slip,non,grey,cotton,partners,john,ultra,mat,lewis,soft,at,silver,bath",product,https://www.johnlewis.com/john-lewis-partners-ultra-soft-non-slip-cotton-bath-mat/silver-grey/p3767059,1903
"citrine,john,soft,our,slip,orders,partners,shower,at,on,free,bath,non,over,from,range,mats,cotton,ultra,mat,lewis,delivery,buy",5185.32,52,716,859,"slip,non,citrine,cotton,partners,john,ultra,mat,lewis,soft,at,bath",product,https://www.johnlewis.com/john-lewis-partners-ultra-soft-non-slip-cotton-bath-mat/citrine/p3767059,1903
"polo,marks,cotton,spencer,supima,from,textured,buy,range,and,the",3473.6,3,819,225,"polo,cotton,supima,autograph,textured",website,https://www.marksandspencer.com/supima-cotton-textured-polo/p/p60267133?image=SD_03_T30_1574A_VA_X_EC_90&color=COPPER&prevPage=plp,1903
"marks,cotton,spencer,printed,pure,from,shirt,buy,range,and,the",4256.6,3,819,249,"cotton,collection,printed,pure,shirt",website,https://www.marksandspencer.com/pure-cotton-printed-shirt/p/p60275200?prevPage=plp&color=BLUEMIX&intid=plpnav_swatch,1903
